IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.12.139,8080,8080,false,NRT,Asia Pacific,Tokyo,0,3.03
47.74.42.111,8080,8080,false,NRT,Asia Pacific,Tokyo,0,2.96
47.74.5.233,8080,8080,false,NRT,Asia Pacific,Tokyo,0,2.67
47.91.14.47,8080,8080,false,NRT,Asia Pacific,Tokyo,0,2.63
47.74.13.94,8080,8080,false,NRT,Asia Pacific,Tokyo,0,2.56
47.74.26.132,8080,8080,false,NRT,Asia Pacific,Tokyo,0,2.34
47.74.37.50,8080,8080,false,NRT,Asia Pacific,Tokyo,0,2.05
47.245.15.236,8080,8080,false,NRT,Asia Pacific,Tokyo,3,2.02
47.74.13.239,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.96
47.74.34.135,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.94
168.138.185.28,8080,8080,false,SIN,Asia Pacific,Singapore,0,1.89
47.245.56.121,8080,8080,false,NRT,Asia Pacific,Tokyo,4,1.70
47.74.42.17,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.64
47.74.10.135,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.62
47.74.34.73,8080,8080,false,NRT,Asia Pacific,Tokyo,4,1.58
47.91.2.5,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.54
8.209.222.31,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.54
8.209.243.99,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.52
8.218.136.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,4,1.51
47.74.7.51,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.45
47.245.54.197,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.44
47.91.22.115,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.43
47.245.15.39,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.38
47.74.13.200,8080,8080,false,NRT,Asia Pacific,Tokyo,2,1.34
47.245.56.29,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.34
47.245.11.62,8080,8080,false,NRT,Asia Pacific,Tokyo,3,1.30
47.74.27.151,8080,8080,false,NRT,Asia Pacific,Tokyo,3,1.29
47.74.14.85,8080,8080,false,NRT,Asia Pacific,Tokyo,4,1.26
47.245.11.118,8080,8080,false,NRT,Asia Pacific,Tokyo,2,1.21
47.245.8.68,8080,8080,false,NRT,Asia Pacific,Tokyo,3,1.19
8.222.227.191,8080,8080,false,SIN,Asia Pacific,Singapore,0,1.19
47.245.30.65,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.19
8.209.240.229,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.19
47.245.53.101,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.13
47.91.3.87,8080,8080,false,NRT,Asia Pacific,Tokyo,3,1.11
47.245.37.37,8080,8080,false,NRT,Asia Pacific,Tokyo,4,1.10
152.70.111.251,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.08
8.209.200.73,8080,8080,false,NRT,Asia Pacific,Tokyo,3,1.07
47.74.9.174,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.04
8.222.175.78,8080,8080,false,SIN,Asia Pacific,Singapore,0,1.04
47.245.55.235,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.04
47.245.3.137,8080,8080,false,NRT,Asia Pacific,Tokyo,0,1.03
47.74.39.194,8080,8080,false,NRT,Asia Pacific,Tokyo,4,1.03
