IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.222.8,80,80,false,SIN,Asia Pacific,Singapore,5,11.97
8.219.99.169,2052,2052,false,SIN,Asia Pacific,Singapore,4,11.97
8.219.250.239,2083,2083,true,SIN,Asia Pacific,Singapore,135,11.96
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,11.96
47.245.26.167,2087,2087,true,NRT,Asia Pacific,Tokyo,205,11.96
8.222.154.227,8880,8880,false,SIN,Asia Pacific,Singapore,75,11.95
8.222.164.209,2053,2053,true,SIN,Asia Pacific,Singapore,99,11.95
47.74.0.183,2083,2083,true,NRT,Asia Pacific,Tokyo,193,11.95
47.245.54.98,8080,8080,false,NRT,Asia Pacific,Tokyo,85,11.95
47.245.30.208,2087,2087,true,NRT,Asia Pacific,Tokyo,176,11.95
8.209.243.99,2086,2086,false,NRT,Asia Pacific,Tokyo,69,11.95
47.245.11.118,2087,2087,true,NRT,Asia Pacific,Tokyo,175,11.95
47.74.13.200,2087,2087,true,NRT,Asia Pacific,Tokyo,140,11.94
8.218.181.189,8443,8443,true,HKG,Asia Pacific,Hong Kong,89,11.94
47.245.11.118,2052,2052,false,NRT,Asia Pacific,Tokyo,84,11.94
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,14,11.94
8.219.237.250,80,80,false,SIN,Asia Pacific,Singapore,32,11.93
47.245.11.108,2096,2096,true,NRT,Asia Pacific,Tokyo,179,11.93
47.236.116.26,2083,2083,true,SIN,Asia Pacific,Singapore,146,11.93
47.245.8.156,2087,2087,true,NRT,Asia Pacific,Tokyo,256,11.93
47.74.54.223,2083,2083,true,NRT,Asia Pacific,Tokyo,147,11.93
8.219.196.117,2083,2083,true,SIN,Asia Pacific,Singapore,68,11.93
8.219.51.211,443,443,true,SIN,Asia Pacific,Singapore,35,11.92
8.222.129.245,2083,2083,true,SIN,Asia Pacific,Singapore,129,11.92
47.74.46.84,2053,2053,true,NRT,Asia Pacific,Tokyo,209,11.92
47.74.12.139,2096,2096,true,NRT,Asia Pacific,Tokyo,183,11.91
47.91.2.5,80,80,false,NRT,Asia Pacific,Tokyo,93,11.91
8.209.252.13,2096,2096,true,NRT,Asia Pacific,Tokyo,142,11.91
47.245.3.137,2083,2083,true,NRT,Asia Pacific,Tokyo,181,11.91
8.219.195.47,2082,2082,false,SIN,Asia Pacific,Singapore,12,11.90
8.209.240.227,2083,2083,true,NRT,Asia Pacific,Tokyo,153,11.90
8.217.145.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,111,11.90
47.74.61.138,2053,2053,true,NRT,Asia Pacific,Tokyo,162,11.90
8.219.53.222,8443,8443,true,SIN,Asia Pacific,Singapore,42,11.90
8.218.110.180,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,11.90
47.74.52.188,2052,2052,false,NRT,Asia Pacific,Tokyo,86,11.90
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,31,11.89
8.209.242.25,2082,2082,false,NRT,Asia Pacific,Tokyo,87,11.89
47.74.27.94,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.89
47.245.11.62,8080,8080,false,NRT,Asia Pacific,Tokyo,124,11.89
8.219.113.232,2096,2096,true,SIN,Asia Pacific,Singapore,141,11.89
8.219.215.214,2087,2087,true,SIN,Asia Pacific,Singapore,118,11.89
8.219.50.180,2086,2086,false,SIN,Asia Pacific,Singapore,10,11.88
