IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
146.56.153.221,443,443,true,NRT,Asia Pacific,Tokyo,0,3.92
18.197.218.69,443,443,true,FRA,Europe,Frankfurt,4,2.85
98.70.26.236,443,443,true,BOM,Asia Pacific,Mumbai,2,2.52
13.228.142.218,443,443,true,SIN,Asia Pacific,Singapore,16,2.27
52.141.25.42,443,443,true,KIX,Asia Pacific,Osaka,5,1.29
144.21.51.29,443,443,true,FRA,Europe,Frankfurt,4,1.28
13.43.218.87,443,443,true,LHR,Europe,London,0,1.19
13.124.120.105,443,443,true,ICN,Asia Pacific,Seoul,2,1.13
192.9.138.241,443,443,true,SJC,North America,San Jose,4,1.12
13.40.87.247,443,443,true,LHR,Europe,London,4,1.04
18.167.194.154,443,443,true,HKG,Asia Pacific,Hong Kong,4,1.01
154.7.179.76,443,443,true,LAX,North America,Los Angeles,2,0.99
84.8.153.77,443,443,true,AMS,Europe,Amsterdam,1,0.98
168.138.46.67,443,443,true,KIX,Asia Pacific,Osaka,2,0.87
20.220.204.217,443,443,true,YYZ,North America,Toronto,2,0.74
8.219.99.49,443,443,true,SIN,Asia Pacific,Singapore,4,0.69
152.67.218.88,443,443,true,ICN,Asia Pacific,Seoul,0,0.68
107.173.251.119,443,443,true,YYZ,North America,Toronto,2,0.63
34.247.80.7,443,443,true,DUB,Europe,Dublin,1,0.61
52.210.76.206,443,443,true,DUB,Europe,Dublin,1,0.59
67.226.222.2,443,443,true,ORD,North America,Chicago,5,0.55
3.74.77.100,443,443,true,FRA,Europe,Frankfurt,2,0.52
51.103.240.61,443,443,true,MXP,Europe,Milan,5,0.52
172.166.254.254,443,443,true,LHR,Europe,London,4,0.50
49.51.197.141,443,443,true,SJC,North America,San Jose,5,0.50
52.187.131.253,443,443,true,SIN,Asia Pacific,Singapore,5,0.47
146.56.161.229,443,443,true,NRT,Asia Pacific,Tokyo,5,0.47
65.75.193.107,443,443,true,SJC,North America,San Jose,0,0.42
3.122.86.99,443,443,true,FRA,Europe,Frankfurt,1,0.40
18.130.168.34,443,443,true,LHR,Europe,London,0,0.35
3.135.201.228,443,443,true,ORD,North America,Chicago,5,0.34
132.226.231.25,443,443,true,NRT,Asia Pacific,Tokyo,5,0.31
52.40.59.31,443,443,true,SEA,North America,Seattle,0,0.30
3.72.19.45,443,443,true,FRA,Europe,Frankfurt,15,0.30
8.219.159.232,443,443,true,SIN,Asia Pacific,Singapore,3,0.28
4.255.56.137,443,443,true,IAD,North America,Ashburn,0,0.27
18.184.55.249,443,443,true,FRA,Europe,Frankfurt,4,0.26
35.183.125.196,443,443,true,YUL,North America,Montréal,4,0.26
23.94.98.225,443,443,true,SJC,North America,San Jose,1,0.26
18.194.180.78,443,443,true,FRA,Europe,Frankfurt,4,0.25
158.180.28.95,443,443,true,FRA,Europe,Frankfurt,2,0.24
3.9.223.59,443,443,true,LHR,Europe,London,0,0.22
15.236.98.115,443,443,true,CDG,Europe,Paris,3,0.20
13.41.92.141,443,443,true,LHR,Europe,London,4,0.19
51.103.215.50,443,443,true,MXP,Europe,Milan,15,0.19
18.198.227.161,443,443,true,AMS,Europe,Amsterdam,5,0.19
8.219.159.232,443,443,true,SIN,Asia Pacific,Singapore,6,0.19
3.75.248.109,443,443,true,FRA,Europe,Frankfurt,5,0.18
144.24.163.62,443,443,true,FRA,Europe,Frankfurt,6,0.17
18.133.198.91,443,443,true,LHR,Europe,London,4,0.16
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,15,0.15
107.175.2.53,443,443,true,BUF,North America,Buffalo,4,0.13
20.235.105.146,443,443,true,BOM,Asia Pacific,Mumbai,16,0.11
47.236.121.7,443,443,true,SIN,Asia Pacific,Singapore,3,0.10
104.168.125.192,443,443,true,ORD,North America,Chicago,14,0.08
130.61.8.112,443,443,true,FRA,Europe,Frankfurt,5,0.08
20.184.24.21,443,443,true,SIN,Asia Pacific,Singapore,2,0.08
47.241.209.61,443,443,true,SIN,Asia Pacific,Singapore,0,0.06
54.187.109.16,443,443,true,SEA,North America,Seattle,4,0.06
192.210.206.181,443,443,true,SJC,North America,San Jose,5,0.05
3.76.154.119,443,443,true,FRA,Europe,Frankfurt,0,0.05
8.222.205.210,443,443,true,SIN,Asia Pacific,Singapore,5,0.04
104.168.28.65,443,443,true,SJC,North America,San Jose,5,0.04
18.135.67.188,443,443,true,LHR,Europe,London,1,0.04
18.134.37.97,443,443,true,LHR,Europe,London,15,0.04
20.150.194.248,443,443,true,LAX,North America,Los Angeles,5,0.04
18.191.122.211,443,443,true,ORD,North America,Chicago,0,0.04
140.83.53.190,443,443,true,KIX,Asia Pacific,Osaka,1,0.03
3.120.212.75,443,443,true,FRA,Europe,Frankfurt,0,0.03
129.146.169.119,443,443,true,LAX,North America,Los Angeles,0,0.00
