IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.91.21.127,2082,2082,false,NRT,Asia Pacific,Tokyo,0,2.82
8.209.246.24,2082,2082,false,NRT,Asia Pacific,Tokyo,0,2.12
47.74.34.38,2082,2082,false,NRT,Asia Pacific,Tokyo,0,2.03
47.74.27.151,2082,2082,false,NRT,Asia Pacific,Tokyo,3,1.85
47.74.12.139,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.84
47.74.39.194,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.79
47.74.13.94,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.78
47.245.11.118,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.70
47.91.22.115,2082,2082,false,NRT,Asia Pacific,Tokyo,4,1.52
47.236.79.87,2082,2082,false,SIN,Asia Pacific,Singapore,0,1.52
8.209.243.137,2082,2082,false,NRT,Asia Pacific,Tokyo,4,1.50
47.91.3.87,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.49
47.74.9.174,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.48
47.91.23.146,2082,2082,false,NRT,Asia Pacific,Tokyo,1,1.42
8.209.243.99,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.42
47.74.27.211,2082,2082,false,NRT,Asia Pacific,Tokyo,2,1.40
8.209.200.73,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.39
47.236.83.196,2082,2082,false,SIN,Asia Pacific,Singapore,0,1.38
47.91.15.247,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.36
47.74.10.135,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.35
47.91.29.108,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.34
8.209.240.229,2082,2082,false,NRT,Asia Pacific,Tokyo,3,1.32
47.74.16.255,2082,2082,false,NRT,Asia Pacific,Tokyo,2,1.31
47.74.7.51,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.31
47.74.42.17,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.30
47.245.15.236,2082,2082,false,NRT,Asia Pacific,Tokyo,2,1.30
47.245.37.37,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.24
8.209.242.25,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.21
47.74.43.24,2082,2082,false,NRT,Asia Pacific,Tokyo,9,1.20
47.91.19.249,2082,2082,false,NRT,Asia Pacific,Tokyo,5,1.14
158.101.69.12,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.14
47.236.114.167,2082,2082,false,SIN,Asia Pacific,Singapore,2,1.12
47.245.55.235,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.12
47.236.65.232,2082,2082,false,SIN,Asia Pacific,Singapore,1,1.11
47.245.4.219,2082,2082,false,NRT,Asia Pacific,Tokyo,2,1.10
151.145.65.8,2082,2082,false,NRT,Asia Pacific,Tokyo,3,1.07
8.209.240.227,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.06
140.238.52.141,2082,2082,false,NRT,Asia Pacific,Tokyo,6,1.05
158.179.189.235,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.05
47.245.8.68,2082,2082,false,NRT,Asia Pacific,Tokyo,4,1.05
47.245.33.158,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.03
8.209.222.31,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.03
8.222.184.198,2082,2082,false,SIN,Asia Pacific,Singapore,0,1.03
140.238.38.245,2082,2082,false,NRT,Asia Pacific,Tokyo,0,1.03
132.145.112.168,2082,2082,false,NRT,Asia Pacific,Tokyo,3,1.02
47.245.32.215,2082,2082,false,NRT,Asia Pacific,Tokyo,4,1.00
47.245.37.12,2082,2082,false,NRT,Asia Pacific,Tokyo,5,0.98
150.230.220.232,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.98
47.91.2.165,2082,2082,false,NRT,Asia Pacific,Tokyo,4,0.98
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,10,0.96
8.209.214.157,2082,2082,false,NRT,Asia Pacific,Tokyo,10,0.96
155.248.169.25,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.96
158.179.180.233,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.95
158.101.149.52,2082,2082,false,NRT,Asia Pacific,Tokyo,3,0.93
47.91.3.112,2082,2082,false,NRT,Asia Pacific,Tokyo,3,0.88
8.222.160.176,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.86
47.236.94.113,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.86
47.236.163.221,2082,2082,false,SIN,Asia Pacific,Singapore,2,0.85
47.245.40.161,2082,2082,false,NRT,Asia Pacific,Tokyo,2,0.85
138.2.80.183,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.85
8.219.121.87,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.84
132.145.124.198,2082,2082,false,NRT,Asia Pacific,Tokyo,4,0.83
8.209.241.128,2082,2082,false,NRT,Asia Pacific,Tokyo,10,0.83
8.217.167.88,2082,2082,false,HKG,Asia Pacific,Hong Kong,10,0.83
47.245.38.233,2082,2082,false,NRT,Asia Pacific,Tokyo,2,0.82
47.245.30.144,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.82
155.248.167.70,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.81
8.222.147.203,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.80
140.238.33.165,2082,2082,false,NRT,Asia Pacific,Tokyo,5,0.80
8.219.89.201,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.80
8.222.167.147,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.80
151.145.66.219,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.79
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.79
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.79
158.179.190.253,2082,2082,false,NRT,Asia Pacific,Tokyo,3,0.78
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.78
47.236.12.73,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.77
158.178.246.169,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.77
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.77
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.77
8.222.244.192,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.77
47.236.192.198,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.77
8.222.153.11,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.76
47.236.166.184,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.76
151.145.74.56,2082,2082,false,NRT,Asia Pacific,Tokyo,5,0.76
8.222.146.222,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.76
8.222.129.32,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.75
140.238.35.138,2082,2082,false,NRT,Asia Pacific,Tokyo,4,0.74
8.222.237.131,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.74
8.219.51.49,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.74
8.222.136.247,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.72
8.222.219.34,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.72
8.222.240.47,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.72
47.236.189.173,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.71
47.91.14.47,2082,2082,false,NRT,Asia Pacific,Tokyo,3,0.71
8.222.131.102,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.70
47.236.187.144,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.68
8.219.115.215,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.68
8.222.134.170,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.66
47.236.174.206,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.66
47.245.57.38,2082,2082,false,HKG,Asia Pacific,Hong Kong,0,0.65
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.65
8.222.128.131,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.65
158.178.242.5,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.64
8.222.168.234,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.64
8.222.224.163,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.64
8.222.167.8,2082,2082,false,SIN,Asia Pacific,Singapore,3,0.64
8.222.144.50,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.64
8.222.212.116,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.63
8.219.163.195,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.63
8.222.136.196,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.63
158.179.178.145,2082,2082,false,NRT,Asia Pacific,Tokyo,3,0.62
8.219.90.196,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.61
8.222.229.102,2082,2082,false,SIN,Asia Pacific,Singapore,1,0.61
8.222.188.56,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.60
8.222.174.108,2082,2082,false,SIN,Asia Pacific,Singapore,2,0.60
8.222.180.86,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.60
47.236.29.235,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.60
47.236.121.7,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.59
8.222.238.141,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.57
132.145.126.21,2082,2082,false,NRT,Asia Pacific,Tokyo,0,0.56
213.35.98.197,2082,2082,false,SIN,Asia Pacific,Singapore,10,0.56
47.236.103.153,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.56
8.219.139.86,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.56
8.222.175.78,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.55
47.236.21.51,2082,2082,false,SIN,Asia Pacific,Singapore,0,0.55
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,2,0.55
