IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.54.145,2087,2087,true,NRT,Asia Pacific,Tokyo,0,3.67
47.91.23.146,2087,2087,true,NRT,Asia Pacific,Tokyo,0,2.75
47.91.3.112,2087,2087,true,NRT,Asia Pacific,Tokyo,2,2.46
47.74.13.239,2087,2087,true,NRT,Asia Pacific,Tokyo,0,2.31
138.2.80.183,2087,2087,true,SIN,Asia Pacific,Singapore,0,2.05
8.209.243.137,2087,2087,true,NRT,Asia Pacific,Tokyo,3,1.85
47.74.26.132,2087,2087,true,NRT,Asia Pacific,Tokyo,8,1.82
158.179.183.2,2087,2087,true,NRT,Asia Pacific,Tokyo,0,1.41
47.91.3.179,2087,2087,true,NRT,Asia Pacific,Tokyo,10,1.29
47.245.4.219,2087,2087,true,NRT,Asia Pacific,Tokyo,4,1.21
47.245.54.197,2087,2087,true,NRT,Asia Pacific,Tokyo,3,1.21
8.209.240.227,2087,2087,true,NRT,Asia Pacific,Tokyo,4,1.18
47.74.5.99,2087,2087,true,NRT,Asia Pacific,Tokyo,10,1.09
8.222.164.209,2087,2087,true,SIN,Asia Pacific,Singapore,0,1.08
47.74.14.85,2087,2087,true,NRT,Asia Pacific,Tokyo,3,1.03
8.209.222.31,2087,2087,true,NRT,Asia Pacific,Tokyo,2,1.00
47.245.55.235,2087,2087,true,NRT,Asia Pacific,Tokyo,2,1.00
47.74.10.135,2087,2087,true,NRT,Asia Pacific,Tokyo,2,0.97
47.245.32.215,2087,2087,true,NRT,Asia Pacific,Tokyo,9,0.96
47.245.15.236,2087,2087,true,NRT,Asia Pacific,Tokyo,3,0.96
141.147.169.131,2087,2087,true,NRT,Asia Pacific,Tokyo,0,0.95
8.209.200.73,2087,2087,true,NRT,Asia Pacific,Tokyo,11,0.91
47.236.194.67,2087,2087,true,SIN,Asia Pacific,Singapore,4,0.91
8.219.40.255,2087,2087,true,SIN,Asia Pacific,Singapore,4,0.91
47.245.33.163,2087,2087,true,NRT,Asia Pacific,Tokyo,9,0.91
