IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.13.200,2096,2096,true,NRT,Asia Pacific,Tokyo,0,2.42
47.91.2.5,2096,2096,true,NRT,Asia Pacific,Tokyo,4,2.28
47.245.33.163,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.94
47.245.28.255,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.81
47.245.56.29,2096,2096,true,NRT,Asia Pacific,Tokyo,2,1.68
8.209.200.73,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.60
8.209.243.137,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.57
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,0,1.46
8.209.241.128,2096,2096,true,NRT,Asia Pacific,Tokyo,3,1.44
131.186.43.107,2096,2096,true,NRT,Asia Pacific,Tokyo,2,1.39
47.74.26.132,2096,2096,true,NRT,Asia Pacific,Tokyo,10,1.32
47.245.33.158,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.27
8.209.240.229,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.23
47.245.54.197,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.14
152.70.99.187,2096,2096,true,NRT,Asia Pacific,Tokyo,5,1.14
47.245.8.68,2096,2096,true,NRT,Asia Pacific,Tokyo,5,1.13
47.245.55.235,2096,2096,true,NRT,Asia Pacific,Tokyo,0,1.10
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,0,1.02
8.222.184.198,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.99
150.230.197.156,2096,2096,true,NRT,Asia Pacific,Tokyo,1,0.98
47.236.174.206,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.96
140.238.35.138,2096,2096,true,NRT,Asia Pacific,Tokyo,0,0.96
8.209.243.99,2096,2096,true,NRT,Asia Pacific,Tokyo,3,0.96
141.147.178.202,2096,2096,true,NRT,Asia Pacific,Tokyo,0,0.93
47.236.92.191,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.92
47.236.7.206,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.91
132.145.123.14,2096,2096,true,NRT,Asia Pacific,Tokyo,5,0.90
8.219.112.75,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.85
47.245.54.98,2096,2096,true,NRT,Asia Pacific,Tokyo,3,0.85
8.222.154.50,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.84
8.222.221.197,2096,2096,true,SIN,Asia Pacific,Singapore,2,0.84
158.101.69.12,2096,2096,true,NRT,Asia Pacific,Tokyo,10,0.81
8.219.213.84,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.80
47.245.8.185,2096,2096,true,NRT,Asia Pacific,Tokyo,4,0.79
8.222.252.150,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.79
8.222.137.166,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.78
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.78
8.222.191.158,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.78
8.219.115.215,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.77
47.236.83.239,2096,2096,true,SIN,Asia Pacific,Singapore,10,0.77
8.219.65.191,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.76
8.222.211.124,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.76
8.222.131.102,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.76
8.222.154.227,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.74
8.222.159.252,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.73
8.222.212.116,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.73
155.248.186.182,2096,2096,true,NRT,Asia Pacific,Tokyo,3,0.72
8.222.155.242,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.70
47.236.172.95,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.70
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.69
47.236.87.206,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.69
8.219.193.202,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.69
47.236.123.218,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.66
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,0,0.66
8.219.6.157,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.66
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.66
8.222.219.252,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.66
8.219.72.51,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.66
8.222.160.61,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.66
47.236.106.37,2096,2096,true,SIN,Asia Pacific,Singapore,8,0.65
47.236.114.167,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.65
8.222.252.150,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.64
47.236.5.223,2096,2096,true,SIN,Asia Pacific,Singapore,2,0.62
47.236.121.7,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.62
8.219.253.185,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.61
47.236.7.246,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.61
8.222.150.197,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.60
47.236.39.34,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.60
47.236.163.95,2096,2096,true,SIN,Asia Pacific,Singapore,8,0.60
47.236.187.144,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.59
8.219.123.244,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.59
47.236.4.129,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.58
47.236.166.184,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.58
47.236.103.153,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.57
47.236.71.226,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.57
8.222.229.22,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.57
47.236.145.180,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.57
47.236.82.218,2096,2096,true,SIN,Asia Pacific,Singapore,8,0.57
132.145.124.198,2096,2096,true,NRT,Asia Pacific,Tokyo,5,0.56
47.236.147.146,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.56
8.219.121.87,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.56
8.222.145.110,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.55
8.222.136.196,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.55
47.236.116.26,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.54
47.245.4.219,2096,2096,true,NRT,Asia Pacific,Tokyo,5,0.54
47.236.176.144,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.54
47.236.79.87,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.54
47.236.97.90,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.53
8.219.139.13,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.53
8.219.253.18,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.53
8.219.90.196,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.52
47.236.169.15,2096,2096,true,SIN,Asia Pacific,Singapore,2,0.52
47.236.116.208,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.50
47.236.19.51,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.50
47.236.114.23,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.50
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.49
8.219.89.201,2096,2096,true,SIN,Asia Pacific,Singapore,2,0.49
47.236.150.109,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.49
8.219.113.232,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.48
8.222.168.234,2096,2096,true,SIN,Asia Pacific,Singapore,5,0.47
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,2,0.47
47.236.144.156,2096,2096,true,SIN,Asia Pacific,Singapore,2,0.47
8.219.159.232,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.46
8.222.229.102,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.46
8.222.129.32,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.45
8.219.139.86,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.45
47.236.144.208,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.45
8.222.136.247,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.45
8.222.169.182,2096,2096,true,SIN,Asia Pacific,Singapore,9,0.45
8.222.227.191,2096,2096,true,SIN,Asia Pacific,Singapore,0,0.44
8.219.178.225,2096,2096,true,SIN,Asia Pacific,Singapore,3,0.44
