IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.53.101,2053,2053,true,NRT,Asia Pacific,Tokyo,0,4.75
47.74.14.85,2053,2053,true,NRT,Asia Pacific,Tokyo,0,3.90
47.91.22.115,2053,2053,true,NRT,Asia Pacific,Tokyo,0,3.11
47.74.27.151,2053,2053,true,NRT,Asia Pacific,Tokyo,3,3.11
138.2.104.2,2053,2053,true,SIN,Asia Pacific,Singapore,0,3.05
47.91.3.112,2053,2053,true,NRT,Asia Pacific,Tokyo,1,2.82
47.236.166.84,2053,2053,true,SIN,Asia Pacific,Singapore,0,2.37
213.35.98.197,2053,2053,true,SIN,Asia Pacific,Singapore,0,2.32
47.74.13.239,2053,2053,true,NRT,Asia Pacific,Tokyo,4,1.74
47.245.33.163,2053,2053,true,NRT,Asia Pacific,Tokyo,3,1.36
158.101.147.4,2053,2053,true,NRT,Asia Pacific,Tokyo,0,1.20
8.209.243.137,2053,2053,true,NRT,Asia Pacific,Tokyo,2,1.16
47.91.2.165,2053,2053,true,NRT,Asia Pacific,Tokyo,6,1.11
158.101.158.238,2053,2053,true,NRT,Asia Pacific,Tokyo,0,1.10
140.238.35.138,2053,2053,true,NRT,Asia Pacific,Tokyo,0,1.10
132.145.120.182,2053,2053,true,NRT,Asia Pacific,Tokyo,0,1.07
138.2.10.251,2053,2053,true,NRT,Asia Pacific,Tokyo,2,0.97
8.222.168.24,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.95
8.219.174.213,2053,2053,true,SIN,Asia Pacific,Singapore,7,0.91
132.145.125.165,2053,2053,true,NRT,Asia Pacific,Tokyo,3,0.90
47.245.28.255,2053,2053,true,NRT,Asia Pacific,Tokyo,6,0.90
131.186.60.162,2053,2053,true,NRT,Asia Pacific,Tokyo,0,0.87
47.236.114.167,2053,2053,true,SIN,Asia Pacific,Singapore,2,0.86
8.222.164.209,2053,2053,true,SIN,Asia Pacific,Singapore,7,0.85
158.101.150.126,2053,2053,true,NRT,Asia Pacific,Tokyo,0,0.85
158.179.181.107,2053,2053,true,NRT,Asia Pacific,Tokyo,2,0.85
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,2,0.83
8.219.174.213,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.82
47.236.119.253,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.82
8.219.6.157,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.81
47.236.192.198,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.81
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.81
47.74.13.200,2053,2053,true,NRT,Asia Pacific,Tokyo,11,0.80
8.222.144.219,2053,2053,true,SIN,Asia Pacific,Singapore,0,0.80
8.219.40.255,2053,2053,true,SIN,Asia Pacific,Singapore,5,0.78
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,0,0.78
47.236.171.20,2053,2053,true,SIN,Asia Pacific,Singapore,5,0.76
47.236.94.109,2053,2053,true,SIN,Asia Pacific,Singapore,4,0.75
141.147.178.202,2053,2053,true,NRT,Asia Pacific,Tokyo,0,0.74
