IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.144.168	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	2.71
47.236.164.215	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	2.25
47.236.121.7	443	443	TRUE	HKG	Asia Pacific	Hong Kong	1	2.06
8.222.205.210	443	443	TRUE	HKG	Asia Pacific	Hong Kong	4	2.05
8.222.226.92	443	443	TRUE	HKG	Asia Pacific	Hong Kong	4	1.51
8.219.159.232	443	443	TRUE	HKG	Asia Pacific	Hong Kong	3	1.5
47.236.113.184	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	1.49
47.254.66.75	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	1.44
47.241.209.61	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	1.42
47.76.77.103	443	443	TRUE	HKG	Asia Pacific	Hong Kong	1	1.39
47.76.180.109	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	1.24
47.236.11.84	443	443	TRUE	HKG	Asia Pacific	Hong Kong	1	1.23
8.222.204.128	443	443	TRUE	HKG	Asia Pacific	Hong Kong	1	1.18
47.236.130.95	443	443	TRUE	HKG	Asia Pacific	Hong Kong	4	1.13
47.236.87.206	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	1.11
8.219.159.232	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	1.05
47.236.116.182	443	443	TRUE	HKG	Asia Pacific	Hong Kong	0	0.76
47.236.145.85	443	443	TRUE	HKG	Asia Pacific	Hong Kong	3	0.76
8.219.159.232	443	443	TRUE	HKG	Asia Pacific	Hong Kong	2	0.71
47.236.12.195	443	443	TRUE	HKG	Asia Pacific	Hong Kong	0	0.63
47.76.94.15	443	443	TRUE	HKG	Asia Pacific	Hong Kong	1	0.57
