IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.171.6	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.46
47.245.6.9	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	0	0.45
47.236.116.208	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.45
8.222.152.71	8443	8443	TRUE	SIN	Asia Pacific	Singapore	6	0.45
47.236.161.155	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.44
8.219.170.58	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.44
47.236.65.232	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.44
47.245.118.70	8443	8443	TRUE	SIN	Asia Pacific	Singapore	7	0.43
8.219.139.86	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.43
47.236.97.90	8443	8443	TRUE	SIN	Asia Pacific	Singapore	7	0.43
20.243.201.2	8443	443	TRUE	NRT	Asia Pacific	Tokyo	6	0.42
47.236.171.205	8443	8443	TRUE	SIN	Asia Pacific	Singapore	3	0.41
47.236.78.57	8443	8443	TRUE	SIN	Asia Pacific	Singapore	7	0.41
47.236.169.141	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.41
158.179.190.253	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	7	0.41
47.236.97.111	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.4
47.236.92.191	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.4
47.236.150.13	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.4
20.174.63.68	8443	443	TRUE	BOM	Asia Pacific	Mumbai	0	0.4
47.236.15.73	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.39
140.238.32.112	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	3	0.39
20.11.67.74	8443	443	TRUE	SYD	Oceania	Sydney	0	0.38
8.217.248.220	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	13	0.36
47.236.99.131	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.36
47.236.148.174	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.36
192.3.59.191	8443	443	TRUE	SJC	North America	San Jose	7	0.35
131.186.36.248	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	6	0.35
47.236.164.215	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.35
158.179.188.159	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	0.34
132.145.121.247	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	0.32
47.236.87.206	8443	8443	TRUE	SIN	Asia Pacific	Singapore	6	0.31
47.236.172.71	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.31
47.236.198.189	8443	8443	TRUE	SIN	Asia Pacific	Singapore	5	0.3
47.245.114.163	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.28
47.236.173.200	8443	8443	TRUE	SIN	Asia Pacific	Singapore	13	0.28
107.174.186.62	8443	443	TRUE	SJC	North America	San Jose	7	0.26
3.35.139.150	8443	443	TRUE	KIX	Asia Pacific	Osaka	7	0.26
47.236.11.84	8443	8443	TRUE	SIN	Asia Pacific	Singapore	14	0.25
4.232.155.190	8443	443	TRUE	MXP	Europe	Milan	11	0.24
91.217.139.227	8443	443	TRUE	LAX	North America	Los Angeles	7	0.23
138.2.6.252	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	0	0.22
132.145.120.182	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	13	0.2
47.236.194.67	8443	8443	TRUE	SIN	Asia Pacific	Singapore	0	0.2
